Name,Country,Sales,Profit,Assets,Market Value
Petrobras,Brazil,99400000000.0,22300000000.0,213200000000.0,92600000000.0
State Bank of India,India,71800000000.0,8100000000.0,807400000000.0,87600000000.0
Bank of Communications,China,78800000000.0,13100000000.0,1982500000000.0,59200000000.0
Postal Savings Bank Of China (PSBC),China,80300000000.0,11300000000.0,2259700000000.0,58100000000.0
Tesla,United States,94700000000.0,13700000000.0,109200000000.0,566000000000.0
Procter & Gamble,United States,84100000000.0,15100000000.0,119600000000.0,395700000000.0
Stellantis,Netherlands,204900000000.0,20100000000.0,223300000000.0,65000000000.0
BMW Group,Germany,168300000000.0,11600000000.0,274700000000.0,65800000000.0
Deutsche Telekom,Germany,121500000000.0,4800000000.0,318800000000.0,119100000000.0
Sumitomo Mitsui Financial,Japan,61300000000.0,6700000000.0,1950800000000.0,80900000000.0
CVS Health,United States,361300000000.0,7300000000.0,249700000000.0,72400000000.0
HDFC Bank,India,49300000000.0,7700000000.0,483200000000.0,133600000000.0
BBVA-Banco Bilbao Vizcaya,Spain,75200000000.0,9000000000.0,865800000000.0,63500000000.0
Sony,Japan,90000000000.0,6700000000.0,225400000000.0,101900000000.0
Siemens,Germany,84400000000.0,8000000000.0,156300000000.0,148200000000.0
Commonwealth Bank,Australia,39000000000.0,6500000000.0,870700000000.0,135400000000.0
Life Insurance Corp. of India,India,98000000000.0,4900000000.0,561400000000.0,73600000000.0
General Motors,United States,174900000000.0,10700000000.0,276600000000.0,52200000000.0
Nippon Telegraph & Tel,Japan,92500000000.0,8800000000.0,195600000000.0,82100000000.0
Credit Agricole,France,105500000000.0,6400000000.0,2418500000000.0,48300000000.0
Broadcom,United States,38900000000.0,11600000000.0,177900000000.0,646600000000.0
PepsiCo,United States,91900000000.0,9200000000.0,100000000000.0,250500000000.0
The Home Depot,United States,151800000000.0,14900000000.0,79200000000.0,341100000000.0
Oracle,United States,52500000000.0,10600000000.0,137100000000.0,339400000000.0
Mitsubishi,Japan,135300000000.00002,6700000000.0,155000000000.0,88900000000.0
Roche Holding,Switzerland,65300000000.0,12800000000.0,107500000000.0,208400000000.0
Equinor,Norway,102800000000.0,9600000000.0,137199999999.99998,82900000000.0
Elevance Health,United States,171700000000.0,6200000000.0,111900000000.0,127300000000.0
CNOOC,Hong Kong,57400000000.0,17500000000.0,141800000000.0,118100000000.0
Industrial Bank ,China,58900000000.0,10600000000.0,1419200000000.0,50900000000.0
Intesa Sanpaolo Assicura,Italy,42200000000.0,9100000000.0,1006100000000.0,74800000000.0
IBM,United States,62100000000.0,8199999999.999999,137199999999.99998,155300000000.0
Chubb,Switzerland,51700000000.0,9300000000.0,212200000000.0,111400000000.0
Itaú Unibanco Holding,Brazil,67800000000.0,6600000000.0,525200000000.00006,63700000000.0
Anheuser-Busch InBev,Belgium,59400000000.0,5300000000.0,221000000000.0,138100000000.0
AbbVie,United States,54400000000.0,6000000000.0,148900000000.0,293900000000.0
Cisco Systems,United States,55400000000.0,12100000000.0,101200000000.0,195100000000.0
Honda Motor,Japan,141300000000.0,7700000000.0,196700000000.0,53700000000.0
Bank of Nova Scotia,Canada,53600000000.0,5800000000.0,1042500000000.0,59200000000.0
Hyundai Motor,South Korea,125400000000.0,9000000000.0,219800000000.0,47300000000.0
Enel,Italy,96000000000.0,4700000000.0,209800000000.0,75100000000.0
Cigna,United States,204100000000.0,3600000000.0,148400000000.0,96200000000.0
Costco Wholesale,United States,248800000000.0,6800000000.0,66300000000.0,352900000000.0
Munich Re,Germany,70000000000.0,5000000000.0,298000000000.0,65099999999.99999
Zurich Insurance Group,Switzerland,65400000000.00001,4400000000.0,339400000000.0,74900000000.0
Novartis,Switzerland,48700000000.0,15200000000.0,94300000000.0,201400000000.0
Coca-Cola,United States,46100000000.0,10800000000.0,99400000000.0,271500000000.0
GE Aerospace,United States,69500000000.0,3500000000.0,163900000000.0,175000000000.0
Caterpillar,United States,67000000000.0,11200000000.0,83700000000.0,174200000000.0
John Deere,United States,58600000000.0,9500000000.0,105600000000.0,110500000000.0
Bank of Montreal,Canada,53900000000.0,4000000000.0,991600000000.0,69100000000.0
Mizuho Financial,Japan,55100000000.0,4700000000.0,1841300000000.0,51100000000.0
AIRBUS,France,72100000000.0,4200000000.0,132600000000.0,136699999999.99998
Intel,United States,55200000000.0,4099999999.9999995,192700000000.0,135500000000.0
Mitsui,Japan,92100000000.0,7400000000.0,111700000000.0,76800000000.0
ConocoPhillips,United States,55100000000.0,10600000000.0,95300000000.0,142300000000.0
China State Construction Engineering,China,317400000000.0,7600000000.0,410400000000.0,33299999999.999996
NVIDIA,United States,60900000000.0,29800000000.0,65700000000.0,2312000000000.0
Rio Tinto,United Kingdom,54000000000.0,10100000000.0,103500000000.0,119200000000.0
CITIC,Hong Kong,96100000000.0,8100000000.0,1597700000000.0,31900000000.0
RTX,United States,71000000000.0,3500000000.0,160200000000.0,138500000000.0
Glencore International,Switzerland,218000000000.0,4300000000.0,123900000000.0,76900000000.0
BHP Group,Australia,55300000000.0,7300000000.0,100000000000.0,152100000000.0
China Life Insurance,China,51600000000.0,6600000000.0,818100000000.0,47100000000.0
US Bancorp,United States,41200000000.0,5000000000.0,683600000000.0,64700000000.0
Hon Hai Precision ,Taiwan,191700000000.0,4800000000.0,117900000000.0,73100000000.0
Iberdrola,Spain,50500000000.0,6600000000.0,164100000000.0,83600000000.0
AstraZeneca,United Kingdom,47600000000.0,6300000000.0,102300000000.0,238400000000.0
Sanofi ,France,46600000000.0,5800000000.0,139700000000.0,121500000000.0
Unilever,United Kingdom,64500000000.0,7000000000.0,83100000000.0,216800000000.0
Ford Motor,United States,177500000000.0,3900000000.0,274300000000.0,49000000000.0
Capital One,United States,51000000000.0,5100000000.0,481700000000.0,54200000000.0
NAB - National Australia Bank,Australia,38700000000.0,4600000000.0,698700000000.0,71500000000.0
Apollo Global Management,United States,34700000000.0,5400000000.0,334100000000.0,89500000000.0
Visa,United States,34100000000.0,18100000000.0,92400000000.0,560500000000.0
UniCredit,Italy,26500000000.0,10800000000.0,875400000000.0,66400000000.00001
Contemporary Amperex Technology,China,54300000000.0,6200000000.0,101200000000.0,123300000000.0
American International Group,United States,49000000000.0,4800000000.0,475600000000.0,53500000000.0
ANZ Group Holdings,Australia,40900000000.0,4600000000.0,710900000000.0,56500000000.0
VINCI,France,75300000000.0,5100000000.0,131000000000.0,71500000000.0
China Citic Bank,China,54100000000.0,9400000000.0,1255000000000.0,34700000000.0
Thermo Fisher Scientific,United States,42500000000.0,6000000000.0,97100000000.0,227200000000.0
Charles Schwab,United States,25600000000.0,4800000000.0,468800000000.0,140000000000.0
Progressive,United States,65000000000.0,5800000000.0,88900000000.0,122500000000.0
DBS,Singapore,26200000000.0,7500000000.0,560700000000.0,75300000000.0
Marathon Petroleum,United States,146500000000.0,7900000000.0,85500000000.0,63300000000.0
PNC Financial Services,United States,32400000000.0,5200000000.0,566200000000.0,63800000000.0
Generali Group,Italy,74700000000.0,4000000000.0,555300000000.0,42000000000.0
ICICI Bank,India,28500000000.0,5300000000.0,283500000000.0,95300000000.0
Itochu,Japan,97000000000.0,5500000000.0,95700000000.0,67200000000.0
Westpac Banking Group,Australia,35300000000.0,4300000000.0,686800000000.0,62100000000.0
United Parcel Service,United States,89600000000.0,5900000000.0,67599999999.99999,127700000000.0
Deutsche Bank,Germany,68000000000.0,4900000000.0,1437300000000.0,33600000000.0
Canadian Imperial Bank,Canada,42900000000.0,4700000000.0,727300000000.0,46300000000.0
China Shenhua Energy,China,47900000000.0,8600000000.0,90800000000.0,91300000000.0
Tokio Marine Holdings,Japan,48000000000.0,4400000000.0,212300000000.0,61800000000.0
NextEra Energy,United States,24000000000.0,7500000000.0,179900000000.0,156300000000.0
Eni,Italy,97000000000.0,3900000000.0,158300000000.0,50400000000.0
BYD,China,83200000000.0,4200000000.0,93800000000.0,83000000000.0
ING Group,Netherlands,24500000000.0,7900000000.0,1112300000000.0,55900000000.0
Lloyds Banking Group,United Kingdom,33100000000.0,5800000000.0,1123800000000.0,44400000000.0
Walt Disney,United States,88900000000.0,1700000000.0,195100000000.0,189400000000.0
Phillips 66,United States,148900000000.0,5800000000.0,76400000000.0,62400000000.0
MetLife,United States,67599999999.99999,2400000000.0,677600000000.0,52800000000.0
Salesforce,United States,34900000000.0,4099999999.9999995,102800000000.0,277100000000.0
Shanghai Pudong Development,China,49700000000.0,5300000000.0,1252600000000.0,33200000000.000004
Banco do Brasil,Brazil,62100000000.0,6000000000.0,443400000000.0,30900000000.0
AIA Group,Hong Kong,27500000000.0,3800000000.0,278800000000.0,93700000000.0
Merck & Co.,United States,61100000000.0,2300000000.0,105800000000.0,332300000000.0
Abbott Laboratories,United States,40300000000.0,5600000000.0,72500000000.0,181100000000.0
China Telecom,China,71400000000.0,4300000000.0,117400000000.0,52300000000.0
Dell Technologies,United States,88500000000.0,3200000000.0,82100000000.0,106700000000.0
Barclays,United Kingdom,31500000000.0,5100000000.0,1992300000000.0,41200000000.0
Linde,United Kingdom,32799999999.999996,6300000000.0,80300000000.0,207900000000.0
FedEx,United States,87500000000.0,4400000000.0,86100000000.0,63300000000.0
Hitachi,Japan,67300000000.0,4099999999.9999995,80800000000.0,86100000000.0
Accenture,Ireland,64599999999.99999,7000000000.0,51300000000.0,190900000000.0
Lockheed Martin,United States,69600000000.0,6800000000.0,55000000000.0,111900000000.0
L'Oréal,France,44500000000.0,6700000000.0,57300000000.0,260300000000.0
Nordea Bank,Finland,28500000000.0,5600000000.0,653300000000.0,43500000000.0
Eli Lilly,United States,35900000000.0,6100000000.0,63900000000.0,731800000000.0
KKR,United States,22700000000.0,4099999999.9999995,339800000000.0,92900000000.0
Philip Morris International,United States,35700000000.0,7900000000.0,65300000000.0,155200000000.0
NatWest Group,United Kingdom,33700000000.000004,5100000000.0,881100000000.0,35500000000.0
Valero Energy,United States,140100000000.0,7000000000.0,62600000000.0,54300000000.0
Enbridge,Canada,31500000000.0,4400000000.0,140900000000.0,78200000000.0
JD.com,China,153700000000.0,3500000000.0,83300000000.0,55700000000.0
Bank of New York Mellon,United States,36200000000.0,3400000000.0,434700000000.0,44500000000.0
Vale,Brazil,41800000000.0,7800000000.0,91500000000.0,55400000000.0
GSK,United Kingdom,38600000000.0,5600000000.0,73900000000.0,91900000000.0
Prudential Financial,United States,58900000000.0,2100000000.0,725800000000.0,43500000000.0
Lowe's,United States,86400000000.0,7700000000.0,43400000000.0,132199999999.99998
Charter Communications,United States,54600000000.0,4600000000.0,148000000000.0,39300000000.0
Honeywell International,United States,36900000000.0,5700000000.0,65599999999.99999,134100000000.0
McKesson,United States,309000000000.0,3000000000.0,67400000000.00001,73400000000.0
Duke Energy,United States,29500000000.0,3300000000.0,178700000000.0,80200000000.0
Qualcomm,United States,36400000000.0,8400000000.0,53200000000.0,216300000000.0
HCA Healthcare,United States,66700000000.0,5500000000.0,57000000000.0,84600000000.0
Medtronic,Ireland,32299999999.999996,4200000000.0,90800000000.0,114100000000.0
Amgen,United States,29400000000.0,3800000000.0,93000000000.0,167600000000.0
ENGIE ,France,89300000000.0,2400000000.0,215000000000.0,41500000000.0
Southern Company,United States,25400000000.0,4200000000.0,140100000000.0,87000000000.0
CaixaBank,Spain,25200000000.0,5200000000.0,670700000000.0,39200000000.0
Manulife,Canada,26400000000.0,3400000000.0,630400000000.0,48200000000.0
Danaher,United States,26200000000.0,4400000000.0,83400000000.0,196900000000.0
Mondelez International,United States,36100000000.0,4300000000.0,77600000000.0,95500000000.0
Schneider Electric,France,38800000000.0,4300000000.0,65099999999.99999,139100000000.0
Target,United States,107400000000.0,4099999999.9999995,55400000000.0,74100000000.0
Deutsche Post,Germany,87900000000.0,3800000000.0,74200000000.0,51300000000.0
KDDI,Japan,39800000000.0,4400000000.0,93500000000.0,58000000000.0
National Grid,United Kingdom,25400000000.0,9400000000.0,115000000000.0,53700000000.0
Midea Group,China,53200000000.0,4800000000.0,68900000000.0,65700000000.0
Novo Nordisk,Denmark,35500000000.0,13000000000.0,43300000000.0,581100000000.0
Oil & Natural Gas,India,77500000000.0,5100000000.0,80600000000.0,41900000000.0
América Móvil,Mexico,46800000000.0,3400000000.0,96300000000.0,61400000000.0
BlackRock,United States,19100000000.0,5900000000.0,124000000000.0,120700000000.0
PDD Holdings,Ireland,34700000000.0,8400000000.0,49100000000.0,194200000000.0
PICC,China,77300000000.0,3200000000.0,214000000000.0,30300000000.0
Netflix,United States,34900000000.0,6400000000.0,48800000000.0,267700000000.0
Brookfield Corporation,Canada,101900000000.0,1100000000.0,491900000000.0,73000000000.0
Qatar National Bank,Qatar,32000000000.0,4000000000.0,339600000000.0,35500000000.0
International Holding Company,United Arab Emirates,17300000000.0,8100000000.0,92200000000.0,239500000000.0
Travelers,United States,42900000000.0,3100000000.0,117800000000.0,50300000000.0
Volvo Group,Sweden,52100000000.0,4800000000.0,67300000000.0,54000000000.0
Union Pacific,United States,24100000000.0,6400000000.0,67300000000.0,149500000000.0
Oversea-Chinese Banking,Singapore,18600000000.0,5200000000.0,440800000000.0,48300000000.0
Swiss Re ,Switzerland,49400000000.0,3200000000.0,173500000000.0,35300000000.0
China Pacific Insurance,China,46600000000.0,3800000000.0,332100000000.0,27200000000.0
McDonald's,United States,25800000000.0,8600000000.0,53500000000.0,196400000000.0
Banco Bradesco,Brazil,61200000000.0,2600000000.0,390800000000.0,27900000000.0
Centene,United States,155500000000.0,2700000000.0,82600000000.0,41700000000.0
PayPal,United States,30400000000.0,4300000000.0,83300000000.0,67400000000.00001
Japan Post Holdings,Japan,81500000000.0,1900000000.0,1973600000000.0,27600000000.0
Standard Chartered,United Kingdom,40100000000.0,3300000000.0,812500000000.0,25300000000.0
China Everbright Bank,China,40500000000.0,5700000000.0,954400000000.0,19700000000.0
Suncor Energy,Canada,36700000000.0,5800000000.0,65900000000.00001,51600000000.0
SAP,Germany,34500000000.0,2100000000.0,78800000000.0,224700000000.0
Mastercard,United States,25700000000.0,11800000000.0,42600000000.0,427900000000.0
The Saudi National Bank,Saudi Arabia,16300000000.0,5300000000.0,285900000000.0,56400000000.0
China Resources Land,Hong Kong,35200000000.0,4400000000.0,168000000000.0,30000000000.0
Delta Air Lines,United States,59000000000.0,5000000000.0,75000000000.0,34000000000.0
KIA,South Korea,77500000000.0,7200000000.0,62100000000.0,32600000000.0
ASML Holding,Netherlands,28300000000.0,7700000000.0,42200000000.0,365000000000.0
General Dynamics,United States,43100000000.0,3400000000.0,55200000000.0,82000000000.0
Daimler Truck Holding,Germany,60700000000.0,4200000000.0,79500000000.0,34400000000.0
Nike,United States,51600000000.0,5200000000.0,37400000000.0,139100000000.0
United Overseas Bank,Singapore,20200000000.0,4300000000.0,396900000000.0,37600000000.0
KBC Group,Belgium,29800000000.0,3200000000.0,388200000000.0,30000000000.0
First Abu Dhabi Bank,United Arab Emirates,20800000000.0,4300000000.0,336300000000.0,36600000000.0
PTT ,Thailand,90000000000.0,3200000000.0,99800000000.0,26600000000.0
Canadian Natural Resources,Canada,26400000000.0,5500000000.0,56100000000.0,82600000000.0
Aflac,United States,19300000000.0,5300000000.0,124600000000.0,50200000000.0
Dai-ichi Life Insurance,Japan,66099999999.99999,2200000000.0,446300000000.0,23100000000.0
Occidental Petroleum,United States,27400000000.0,4300000000.0,74300000000.0,56200000000.0
China Minsheng Bank,China,43900000000.0,4500000000.0,1069200000000.0,17200000000.0
Société Générale,France,84600000000.0,1900000000.0,1716700000000.0,20900000000.0
KB Financial Group,South Korea,36800000000.0,3000000000.0,543900000000.0,22600000000.0
Inditex,Spain,38900000000.0,5800000000.0,35600000000.0,146100000000.0
Al Rajhi Bank,Saudi Arabia,14000000000.0,4300000000.0,222900000000.0,85500000000.0
MS&AD Insurance,Japan,43000000000.0,2500000000.0,183300000000.0,28400000000.0
Air Liquide,France,29800000000.0,3300000000.0,53400000000.0,105600000000.0
Fiserv,United States,19400000000.0,3200000000.0,92700000000.0,89400000000.0
China Railway Group,China,178200000000.0,4500000000.0,257899999999.99997,14500000000.0
Orange,France,47700000000.0,2400000000.0,125600000000.0,31200000000.0
Safran,France,25600000000.0,3700000000.0,55700000000.0,93800000000.0
Indian Oil,India,93800000000.0,5000000000.0,57800000000.0,27800000000.0
Emirates NBD,United Arab Emirates,20200000000.0,5700000000.0,234900000000.0,28600000000.0
EssilorLuxottica,France,27500000000.0,2500000000.0,66900000000.00001,102600000000.0
Cencora,United States,276500000000.0,1900000000.0,63900000000.0,44300000000.0
SLB,United States,34100000000.0,4300000000.0,47900000000.0,69500000000.0
Saint-Gobain,France,51800000000.0,2900000000.0,63300000000.0,44400000000.0
Danske Bank,Denmark,26200000000.0,3200000000.0,537100000000.0,25100000000.0
Macquarie Group,Australia,19600000000.0,2200000000.0,264000000000.0,46600000000.0
Zijin Mining Group,China,40200000000.0,3100000000.0,49200000000.0,63200000000.0
TJX Cos,United States,54200000000.0,4500000000.0,29700000000.0,113600000000.0
Banorte,Mexico,27000000000.0,3100000000.0,144100000000.0,30300000000.0
Kweichow Moutai,China,18600000000.0,10900000000.0,39500000000.0,298200000000.0
Fubon Financial,Taiwan,27000000000.0,2100000000.0,361200000000.0,30100000000.0
SAIC Motor,China,102800000000.0,2000000000.0,132800000000.00002,23100000000.0
Automatic Data Processing,United States,18900000000.0,3700000000.0,64200000000.0,103300000000.0
Kraft Heinz Company,United States,26600000000.0,2800000000.0,90300000000.0,43700000000.0
Holcim,Switzerland,30100000000.0,3400000000.0,62600000000.0,48600000000.0
ABB,Switzerland,32299999999.999996,3600000000.0,41100000000.0,96700000000.0
EOG Resources,United States,23500000000.0,7400000000.0,44800000000.0,74700000000.0
Applied Materials,United States,26500000000.0,7300000000.0,31900000000.0,176200000000.0
E.ON,Germany,89800000000.0,1300000000.0,123100000000.0,36100000000.0
Denso,Japan,49400000000.0,2200000000.0,60100000000.0,49300000000.0
DNB Bank,Norway,18500000000.0,3500000000.0,359200000000.0,29400000000.0
Archer Daniels Midland,United States,91700000000.0,3000000000.0,54800000000.0,30500000000.0
Marsh McLennan,United States,23300000000.0,3900000000.0,47600000000.0,103500000000.0
Tata Motors,India,52900000000.0,3800000000.0,44400000000.0,43800000000.0
Sumitomo,Japan,47800000000.0,2700000000.0,72900000000.0,32299999999.999996
Paccar,United States,35400000000.0,5100000000.0,40400000000.0,55600000000.0
Fairfax Financial,Canada,37900000000.0,3900000000.0,81100000000.0,27000000000.0
PG&E,United States,24100000000.0,2400000000.0,127600000000.0,39800000000.0
SEB AB,Sweden,17600000000.0,3600000000.0,386200000000.0,29200000000.0
Allstate,United States,58600000000.0,1400000000.0,96500000000.0,44700000000.0
Kroger,United States,150000000000.0,2100000000.0,50500000000.0,39100000000.0
Erste Group Bank,Austria,26100000000.0,3300000000.0,370100000000.0,20600000000.0
Axis Bank,India,16700000000.0,3200000000.0,182000000000.0,42300000000.0
Humana,United States,109200000000.0,2000000000.0,50100000000.0,42900000000.0
Ameriprise Financial,United States,16600000000.000002,3100000000.0,179800000000.0,43100000000.0
Marubeni,Japan,50100000000.0,3300000000.0,59000000000.0,32200000000.000004
Bank Of Jiangsu,China,20600000000.0,4099999999.9999995,507800000000.0,21300000000.0
CRH,Ireland,34900000000.0,3100000000.0,46300000000.0,56600000000.0
China Unicom,Hong Kong,52700000000.0,2700000000.0,93200000000.0,24800000000.0
Sun Life Financial,Canada,23300000000.0,2400000000.0,247400000000.0,30200000000.0
American Electric,United States,19600000000.0,2800000000.0,97700000000.0,48800000000.0
Banco Btg Pactual,Brazil,17000000000.0,2100000000.0,113400000000.0,78800000000.0
Northrop Grumman,United States,40100000000.0,2200000000.0,47800000000.0,69600000000.0
Shinhan Financial Group,South Korea,28600000000.0,3100000000.0,527200000000.00006,18500000000.0
Couche Tard,Canada,68000000000.0,2900000000.0,36200000000.0,53400000000.0
Xiaomi  ,China,38200000000.0,2500000000.0,45700000000.0,63800000000.0
CK Hutchison,Hong Kong,35200000000.0,3000000000.0,148400000000.0,20700000000.0
Bank Rakyat Indonesia (BRI),Indonesia,14900000000.0,3900000000.0,125500000000.0,46500000000.0
Koç Holding,Turkey,67400000000.00001,3000000000.0,96800000000.0,19300000000.0
"Merck KGaA, Darmstadt, Germany and its affiliates",Germany,22600000000.0,3000000000.0,53500000000.0,79100000000.0
Commerzbank,Germany,25700000000.0,2600000000.0,596100000000.0,19900000000.0
Meituan ,China,39000000000.0,2000000000.0,41900000000.0,100000000000.0
Seven & I Holdings,Japan,80100000000.0,1600000000.0,70800000000.0,33900000000.0
Diageo,United Kingdom,20400000000.0,4000000000.0,46800000000.0,79000000000.0
Eaton,Ireland,23700000000.0,3400000000.0,38500000000.0,132000000000.0
Cathay Financial,Taiwan,29000000000.0,1600000000.0,417000000000.0,25700000000.0
Ecopetrol,Colombia,32299999999.999996,4200000000.0,74700000000.0,24900000000.0
Talanx,Germany,54000000000.0,1900000000.0,179700000000.0,20100000000.0
Starbucks,United States,36500000000.0,4200000000.0,29400000000.0,88200000000.0
Altria Group,United States,20500000000.0,8500000000.0,36500000000.0,79100000000.0
Exelon,United States,22200000000.0,2300000000.0,103200000000.0,38600000000.0
D.R. Horton,United States,37100000000.0,5000000000.0,34400000000.0,49900000000.0
National Bank of Canada,Canada,18200000000.0,2500000000.0,324800000000.0,28800000000.0
Discover Financial Services,United States,21600000000.0,2300000000.0,152700000000.0,31400000000.0
Nippon Steel ,Japan,61300000000.0,3800000000.0,70800000000.0,19400000000.0
Royal Ahold Delhaize N.V.,Netherlands,96200000000.0,2000000000.0,55200000000.0,29800000000.0
Lennar,United States,35100000000.0,4000000000.0,39000000000.0,46100000000.0
Stryker,United States,21000000000.0,3400000000.0,39400000000.0,127500000000.0
Richemont,Switzerland,22400000000.0,2600000000.0,46100000000.0,94400000000.0
Huaxia Bank,China,25300000000.0,3700000000.0,606000000000.0,15300000000.0
Power Corp of Canada,Canada,31400000000.0,1900000000.0,560200000000.0,19000000000.0
Repsol ,Spain,63700000000.0,3300000000.0,68200000000.0,19700000000.0
Bank of Ningbo,China,15800000000.0,3600000000.0,399600000000.0,23600000000.0
Gree Electric Appliances,China,28400000000.0,4099999999.9999995,52700000000.0,32200000000.000004
Cenovus Energy,Canada,39500000000.0,3400000000.0,40600000000.0,37900000000.0
Texas Instruments,United States,16800000000.0,5900000000.0,34900000000.0,177600000000.0
RWE Group,Germany,28000000000.0,1900000000.0,111500000000.0,28100000000.0
Constellation Energy,United States,22000000000.0,2400000000.0,52000000000.0,67200000000.0
Møller-Maersk,Denmark,49200000000.0,1700000000.0,81600000000.0,26300000000.0
Renault,France,56600000000.0,2400000000.0,134699999999.99998,15900000000.0
Nissan Motor,Japan,87700000000.0,3000000000.0,131199999999.99998,12900000000.0
Panasonic,Japan,58800000000.0,3100000000.0,62200000000.0,19900000000.0
Advanced Micro Devices,United States,22800000000.0,1100000000.0,67900000000.00001,265800000000.0
Hartford Financial Services,United States,25000000000.0,2700000000.0,70600000000.0,30500000000.0
Adobe,United States,19900000000.0,4800000000.0,28800000000.0,216600000000.0
Sompo,Japan,31700000000.0,2700000000.0,102300000000.0,20000000000.0
Uber,United States,38600000000.0,1400000000.0,39600000000.0,137199999999.99998
Bank of Beijing,China,19400000000.0,3600000000.0,538900000000.0,17000000000.0
Vodafone,United Kingdom,39800000000.0,1200000000.0,155900000000.0,26500000000.0
China Railway Construction,China,158200000000.0,3700000000.0,236500000000.0,10200000000.0
Poly Developments & Holdings Group,China,48200000000.0,1600000000.0,197100000000.0,18500000000.0
